x[i+k],x[i]
0.394383,0.840188
0.79844,0.783099
0.197551,0.911647
0.76823,0.335223
0.55397,0.277775
0.628871,0.477397
0.513401,0.364784
0.916195,0.95223
0.717297,0.635712
0.606969,0.141603
0.242887,0.0163006
0.804177,0.137232
0.400944,0.156679
0.108809,0.12979
0.218257,0.998925
0.839112,0.512932
0.296032,0.61264
0.524287,0.637552
0.972775,0.493583
0.771358,0.292517
0.769914,0.526745
0.891529,0.400229
0.352458,0.283315
0.919026,0.807725
0.949327,0.0697553
0.0860558,0.525995
0.663227,0.192214
0.348893,0.890233
0.020023,0.0641713
0.0630958,0.457702
0.970634,0.23828
0.85092,0.902208
0.53976,0.266666
0.760249,0.375207
0.667724,0.512535
0.0392803,0.531606
0.931835,0.437638
0.720952,0.93081
0.738534,0.284293
0.354049,0.639979
0.165974,0.687861
0.880075,0.440105
0.330337,0.829201
0.893372,0.228968
0.68667,0.35036
0.58864,0.956468
0.858676,0.657304
0.92397,0.43956
0.814767,0.398437
0.910972,0.684219
0.215825,0.482491
0.920128,0.950252
0.881062,0.14766
0.431953,0.641081
0.281059,0.619596
0.307458,0.786002
0.226107,0.447034
0.276235,0.187533
0.416501,0.556444
0.906804,0.169607
0.126075,0.103171
0.760475,0.495444
0.935004,0.984752
0.383188,0.684445
0.368664,0.749771
0.232262,0.29416
0.244413,0.584489
0.732149,0.15239
0.79347,0.125475
0.745071,0.164102
0.950104,0.0745298
0.521563,0.0525293
0.240062,0.176211
0.732654,0.797798
0.967405,0.656564
0.759735,0.639458
0.134902,0.0934805
0.0782321,0.52021
0.204655,0.0699064
0.819677,0.46142
0.755581,0.573319
0.157807,0.0519388
0.204329,0.999994
0.125468,0.889956
0.0540576,0.997799
0.0723288,0.87054
0.923069,0.00416161
0.180372,0.593892
0.39169,0.163131
0.819695,0.913027
0.552485,0.359095
0.452576,0.57943
0.0996401,0.687387
0.757294,0.530808
0.992228,0.304295
0.877614,0.576971
0.62891,0.747809
0.747803,0.0354209
0.925377,0.833239
0.831038,0.873271
0.743811,0.979434
0.983596,0.903366
0.497259,0.66688
0.830012,0.163968
0.0769947,0.888949
0.248044,0.649707
0.229137,0.62948
0.316867,0.70062
0.231428,0.328777
0.633072,0.074161
0.651132,0.223656
0.971466,0.510686
0.546107,0.280042
0.113281,0.719269
0.59254,0.471483
0.450918,0.944318
0.847684,0.336351
0.00323146,0.434513
0.598481,0.344943
0.233892,0.833243
0.48295,0.675476
0.304956,0.481936
0.182556,0.712087
0.0408643,0.621823
0.695984,0.413984
0.63764,0.673936
0.184622,0.347116
0.627158,0.609106
0.328374,0.730729
0.202213,0.740438
0.684757,0.920914
0.257265,0.65313
0.0876436,0.532441
0.877384,0.260497
0.0937402,0.686125
0.361601,0.111276
0.593211,0.576691
0.288778,0.666557
0.288379,0.775767
0.189751,0.329642
0.00357857,0.984363
0.331479,0.827391
0.436497,0.188201
0.91893,0.958637
0.699075,0.764871
0.685786,0.121143
0.774273,0.383832
0.916273,0.943051
0.203548,0.861917
0.548042,0.793657
